,Timestamp,Kategori Anda,Kategori Umur Anda,CaRek Pilihan,Alasan Memilih CaRek,Harapan Anda
67,9/1/2019 14:45:36,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,Semoga Pak Acep dapat menjadi rektor yang lebih memajukan ITB
68,9/1/2019 14:46:26,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),Semoga ITB kedepan semakin lebih baik dan terdepan dalam menyambut era 4.0
69,9/1/2019 14:49:16,Alumni,> 40 th,Deddy Kurniadi (FTI-TF),Kapabilitas ybs utk meningkatkan ranking ITB,
70,9/1/2019 14:49:17,Alumni,> 40 th,Deddy Kurniadi (FTI-TF),Kapabilitas ybs utk meningkatkan ranking ITB,ITB top 50 klas dunia
71,9/1/2019 14:50:21,Umum,25 - 40 th,Acep Purqon (FMIPA-FI),Kapabilitas ybs utk meningkatkan ranking ITB,
72,9/1/2019 14:50:24,Alumni,> 40 th,Deddy Kurniadi (FTI-TF),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,Semoga ITB dengan pak Deddy Kurniadi sebagai rektor akan bertambah maju dan melesat sesuai dengan tuntutan zaman dan teknologi. 
74,9/1/2019 14:52:35,Dosen,25 - 40 th,Acep Purqon (FMIPA-FI),Kapabilitas ybs utk meningkatkan ranking ITB,Menambah peluang mahasiswa dari luar Jawa untk bisa masuk ke ITB khusus nya dri daerah 3T
75,9/1/2019 14:53:07,Umum,> 40 th,Acep Purqon (FMIPA-FI),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri",Harapan ITB makin maju dan tidak digunakan utk kepentingan politik praktis
76,9/1/2019 14:53:51,Umum,> 40 th,Acep Purqon (FMIPA-FI),Karakter kepemimpinan dan leadership,
77,9/1/2019 14:54:29,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,ITB masuk 8 besar Asia
78,9/1/2019 14:55:38,Dosen,25 - 40 th,Sigit Puji Santosa (FTMD),Kecerdasan dan keberanian utk kemajuan ITB,Bisa menjadikan ITB lebih baik lagi dan bermanfaat bagi masyarakat sekitarnya dengan tetap kreatif untuk berinovasi
79,9/1/2019 14:56:13,Alumni,25 - 40 th,Khairurrijal (FMIPA-FI),Kapabilitas ybs utk memajukan riset dan industri RI,
80,9/1/2019 14:56:45,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),
81,9/1/2019 14:58:08,Umum,< 25 th,Acep Purqon (FMIPA-FI),Keberhasilan dan prestasi,Majut terus
82,9/1/2019 15:01:16,Alumni,> 40 th,Edwan Kardena (FTSL),Kapabilitas ybs utk meningkatkan ranking ITB,Mudah2 an ITB ga menghasilkan produk dungu spt cebong
83,9/1/2019 15:02:02,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),
85,9/1/2019 15:05:47,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Kecerdasan dan keberanian utk kemajuan ITB,Semoga amanah
86,9/1/2019 15:06:49,Mahasiswa,25 - 40 th,Acep Purqon (FMIPA-FI),Keberhasilan dan prestasi,
88,9/1/2019 15:11:29,Umum,> 40 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,
89,9/1/2019 15:15:35,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Akhlak dan budi pekerti,
90,9/1/2019 15:18:23,Alumni,< 25 th,Suhono Harso Supangkat (STEI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,-
91,9/1/2019 15:18:14,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),
92,9/1/2019 15:18:26,Umum,25 - 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),Membawa ITB Lebih Terdepan
93,9/1/2019 15:20:24,Umum,25 - 40 th,Suhono Harso Supangkat (STEI),Kecerdasan dan keberanian utk kemajuan ITB,
94,9/1/2019 15:22:31,Dosen,> 40 th,Deddy Kurniadi (FTI-TF),Sesuai dengan kriteria kekinian (Rektor 4.0),
95,9/1/2019 15:24:51,Umum,> 40 th,Teti Amiati Argo (SAPPK),Muda dan berenergi,
96,9/1/2019 15:24:53,Dosen,25 - 40 th,Acep Purqon (FMIPA-FI),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri",
97,9/1/2019 15:25:53,Umum,> 40 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,Beliau bisa terpilih
